calories,carbs,category,fat,nutrition,protein,rating,reviewCount,source,title,url
196,6.0,"Buffet, Dinner, Starter",13.0,"{'@type': 'NutritionInformation', 'calories': '196 calories', 'fatContent': '13 grams fat', 'saturatedFatContent': '2 grams saturated fat', 'carbohydrateContent': '6 grams carbohydrates', 'sugarContent': '5 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '14 grams protein', 'sodiumContent': '3.08 milligram of sodium'}",14.0,0.1,0.1,bbcgoodfood,Smoked salmon with chilli & lime dressing,https://www.bbcgoodfood.com/recipes/smoked-salmon-asian-dressing
796,72.0,"Brunch, Dinner, Lunch, Main course",38.0,"{'@type': 'NutritionInformation', 'calories': '796 calories', 'fatContent': '38 grams fat', 'saturatedFatContent': '7 grams saturated fat', 'carbohydrateContent': '72 grams carbohydrates', 'sugarContent': '5 grams sugar', 'fiberContent': '10 grams fiber', 'proteinContent': '37 grams protein', 'sodiumContent': '2.6 milligram of sodium'}",37.0,0.1,0.1,bbcgoodfood,"Horseradish latkes with avocado, gravadlax & poached eggs",https://www.bbcgoodfood.com/recipes/horseradish-latkes-avocado-gravadlax-poached-eggs
206,21.0,"Lunch, Soup, Starter",6.0,"{'@type': 'NutritionInformation', 'calories': '206 calories', 'fatContent': '6 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '21 grams carbohydrates', 'sugarContent': '6 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '17 grams protein', 'sodiumContent': '0.7 milligram of sodium'}",17.0,0.1,0.1,bbcgoodfood,Cullen skink,https://www.bbcgoodfood.com/recipes/cullen-skink
354,10.0,"Dinner, Side dish, Snack, Starter, Supper",26.0,"{'@type': 'NutritionInformation', 'calories': '354 calories', 'fatContent': '26 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '10 grams carbohydrates', 'sugarContent': '10 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '20 grams protein', 'sodiumContent': '3.6 milligram of sodium'}",20.0,0.1,0.1,bbcgoodfood,Smoked salmon with grapefruit salad,https://www.bbcgoodfood.com/recipes/smoked-salmon-grapefruit-salad
100,5.0,"Buffet, Canapes, Starter",7.0,"{'@type': 'NutritionInformation', 'calories': '100 calories', 'fatContent': '7 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '5 grams carbohydrates', 'proteinContent': '5 grams protein', 'sodiumContent': '1 milligram of sodium'}",5.0,0.1,0.1,bbcgoodfood,Smoked salmon rotollos,https://www.bbcgoodfood.com/recipes/smoked-salmon-rotollos
240,23.0,"Dinner, Soup, Starter",11.0,"{'@type': 'NutritionInformation', 'calories': '240 calories', 'fatContent': '11 grams fat', 'saturatedFatContent': '6 grams saturated fat', 'carbohydrateContent': '23 grams carbohydrates', 'sugarContent': '2 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '14 grams protein', 'sodiumContent': '1.58 milligram of sodium'}",14.0,0.1,0.1,bbcgoodfood,"Creamy smoked salmon, leek & potato soup",https://www.bbcgoodfood.com/recipes/creamy-smoked-salmon-leek-potato-soup
121,10.0,"Lunch, Starter",6.0,"{'@type': 'NutritionInformation', 'calories': '121 calories', 'fatContent': '6 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '10 grams carbohydrates', 'sugarContent': '1 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '6 grams protein', 'sodiumContent': '1 milligram of sodium'}",6.0,0.1,0.1,bbcgoodfood,Smoked salmon flatbreads,https://www.bbcgoodfood.com/recipes/smoked-salmon-flatbreads
237,6.0,"Dinner, Starter",19.0,"{'@type': 'NutritionInformation', 'calories': '237 calories', 'fatContent': '19 grams fat', 'saturatedFatContent': '11 grams saturated fat', 'carbohydrateContent': '6 grams carbohydrates', 'sugarContent': '3 grams sugar', 'proteinContent': '11 grams protein', 'sodiumContent': '1.17 milligram of sodium'}",11.0,0.1,0.1,bbcgoodfood,Smoked salmon soufflés,https://www.bbcgoodfood.com/recipes/smoked-salmon-souffles
365,48.0,"Buffet, Lunch, Main course, Snack, Supper, Treat",10.0,"{'@type': 'NutritionInformation', 'calories': '365 calories', 'fatContent': '10 grams fat', 'saturatedFatContent': '5 grams saturated fat', 'carbohydrateContent': '48 grams carbohydrates', 'sugarContent': '7 grams sugar', 'fiberContent': '4 grams fiber', 'proteinContent': '21 grams protein', 'sodiumContent': '2.85 milligram of sodium'}",21.0,0.1,0.1,bbcgoodfood,Dill scones with smoked salmon & cucumber relish,https://www.bbcgoodfood.com/recipes/dill-scones-smoked-salmon-cucumber-relish
238,22.0,"Breakfast, Brunch",10.0,"{'@type': 'NutritionInformation', 'calories': '238 calories', 'fatContent': '10 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '22 grams carbohydrates', 'sugarContent': '1 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '15 grams protein', 'sodiumContent': '2 milligram of sodium'}",15.0,0.1,0.1,bbcgoodfood,Baked salmon & eggs,https://www.bbcgoodfood.com/recipes/baked-salmon-eggs
